Statistical profiling result from isolate-00000000003D7F50-v8.log, (15530 ticks, 908 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:339:9
      1    0.0%    0.0%  LazyCompile: ~<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:320:9
      1    0.0%    0.0%  LazyCompile: *slice native string.js:246:21
      1    0.0%    0.0%  LazyCompile: *defineProperty native v8natives.js:573:30
      1    0.0%    0.0%  LazyCompile: *UseSparseVariant native array.js:95:26
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:81:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:300:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:265:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:217:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:122:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:106:9
      1    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
      1    0.0%    0.0%  Handler: parseInternal {7}
      1    0.0%    0.0%  Handler: parseInternal {6}
      1    0.0%    0.0%  Handler: parseInternal {5}
      1    0.0%    0.0%  Handler: parseInternal {50}
      1    0.0%    0.0%  Handler: parseInternal {49}
      1    0.0%    0.0%  Handler: parseInternal {47}
      1    0.0%    0.0%  Handler: parseInternal {3}
      1    0.0%    0.0%  Handler: parseInternal {37}
      1    0.0%    0.0%  Handler: parseInternal {36}
      1    0.0%    0.0%  Handler: parseInternal {34}
      1    0.0%    0.0%  Handler: parseInternal {33}
      1    0.0%    0.0%  Handler: parseInternal {29}
      1    0.0%    0.0%  Handler: parseInternal {27}
      1    0.0%    0.0%  Handler: parseInternal {21}
      1    0.0%    0.0%  Handler: parseInternal {20}
      1    0.0%    0.0%  Handler: parseInternal {14}
      1    0.0%    0.0%  Handler: parseInternal {11}
      1    0.0%    0.0%  Handler: parseInternal {10}
      1    0.0%    0.0%  Handler: parse {4}
      1    0.0%    0.0%  Handler: parse {35}
      1    0.0%    0.0%  Handler: parse {30}
      1    0.0%    0.0%  Handler: parse {2}
      1    0.0%    0.0%  Handler: parse {29}
      1    0.0%    0.0%  Handler: parse {22}
      1    0.0%    0.0%  Handler: parse {1}
      1    0.0%    0.0%  Handler: parse {10}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {2}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
  12829   82.6%   93.4%  JavaScript
      0    0.0%    0.0%  C++
    253    1.6%    1.8%  GC
   1793   11.5%          Shared libraries
    908    5.8%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
   1813   11.7%  Stub: LoadICStub
    671   37.0%    LazyCompile: *Rule.parse C:\code\JS\pegs\lib\runtime\Rule.js:22:37
    314   46.8%      LazyCompile: *Choice.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:182:47
    296   94.3%        LazyCompile: *Rule.parse C:\code\JS\pegs\lib\runtime\Rule.js:22:37
    296  100.0%          LazyCompile: *Reference.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:116:50
    283   95.6%            LazyCompile: *Rule.parse C:\code\JS\pegs\lib\runtime\Rule.js:22:37
     12    4.1%            LazyCompile: *Repeat.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:205:47
     17    5.4%        LazyCompile: *Repeat.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:205:47
     16   94.1%          LazyCompile: *Rule.parse C:\code\JS\pegs\lib\runtime\Rule.js:22:37
     12   75.0%            LazyCompile: *Reference.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:116:50
      4   25.0%            LazyCompile: *Action.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:355:47
