This performance isn't much better than before. It's with regular expressions running in place of standard terminal checks outside of debug mode.

Statistical profiling result from isolate-00000000004B26A0-v8.log, (30922 ticks, 2235 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.0%  RegExp: \u1e90
      5    0.0%    0.0%  RegExp: \u1e8a
      5    0.0%    0.0%  RegExp: \u1e86
      5    0.0%    0.0%  RegExp: \u1e76
      5    0.0%    0.0%  RegExp: \u1e68
      5    0.0%    0.0%  RegExp: \u1e64
      5    0.0%    0.0%  RegExp: \u1e5c
      5    0.0%    0.0%  RegExp: \u1e3c
      5    0.0%    0.0%  RegExp: \u1e1a
      5    0.0%    0.0%  RegExp: \u1e10
      5    0.0%    0.0%  RegExp: \u1e0c
      5    0.0%    0.0%  RegExp: \u0ec6
      5    0.0%    0.0%  RegExp: \u0ebd
      5    0.0%    0.0%  RegExp: \u0ea5
      5    0.0%    0.0%  RegExp: \u051c
      5    0.0%    0.0%  RegExp: \u0513
      5    0.0%    0.0%  RegExp: \u0510
      5    0.0%    0.0%  RegExp: \u050c
      5    0.0%    0.0%  RegExp: \u04fc
      5    0.0%    0.0%  RegExp: \u04c7
      5    0.0%    0.0%  RegExp: \u04c5
      5    0.0%    0.0%  RegExp: \u04ba
      5    0.0%    0.0%  RegExp: \u04b4
      5    0.0%    0.0%  RegExp: \u04a2
      5    0.0%    0.0%  RegExp: \u049e
      5    0.0%    0.0%  RegExp: \u0492
      5    0.0%    0.0%  RegExp: \u047a
      5    0.0%    0.0%  RegExp: \u0468
      5    0.0%    0.0%  RegExp: \u03ee
      5    0.0%    0.0%  RegExp: \u0248
      5    0.0%    0.0%  RegExp: \u021a
      5    0.0%    0.0%  RegExp: \u020e
      5    0.0%    0.0%  RegExp: \u01ea
      5    0.0%    0.0%  RegExp: \u01ca
      5    0.0%    0.0%  RegExp: \u01c7
      5    0.0%    0.0%  RegExp: \u01ad
      5    0.0%    0.0%  RegExp: \u0172
      5    0.0%    0.0%  RegExp: \u0170
      5    0.0%    0.0%  RegExp: \u0166
      5    0.0%    0.0%  RegExp: \u0154
      5    0.0%    0.0%  RegExp: \u0141
      5    0.0%    0.0%  RegExp: \u0130
      5    0.0%    0.0%  RegExp: \u0112
      5    0.0%    0.0%  RegExp: \u0108
      5    0.0%    0.0%  RegExp: \u0102
      5    0.0%    0.0%  RegExp: \\$
      5    0.0%    0.0%  LazyCompile: Join native array.js:172:14
      5    0.0%    0.0%  Handler: parseInternal {20}
      5    0.0%    0.0%  Handler: parseInternal {19}
      5    0.0%    0.0%  Handler: parse {15}
      4    0.0%    0.0%  Stub: RecordWriteStub
      4    0.0%    0.0%  RegExp: t
      4    0.0%    0.0%  RegExp: n
      4    0.0%    0.0%  RegExp: \x0c
      4    0.0%    0.0%  RegExp: \x0b
      4    0.0%    0.0%  RegExp: \uabe8
      4    0.0%    0.0%  RegExp: \uaa7c
      4    0.0%    0.0%  RegExp: \ua7b7
      4    0.0%    0.0%  RegExp: \ua79e
