Statistical profiling result from isolate-000000000027AC30-v8.log, (177275 ticks, 4035 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     24    0.0%    0.0%  Handler: parse {197}
     24    0.0%    0.0%  Handler: parse {14}
     23    0.0%    0.0%  Handler: parseInternal {355}
     23    0.0%    0.0%  Handler: parseInternal {250}
     23    0.0%    0.0%  Handler: parseInternal {161}
     23    0.0%    0.0%  Handler: parse {434}
     23    0.0%    0.0%  Handler: parse {425}
     23    0.0%    0.0%  Handler: parse {408}
     23    0.0%    0.0%  Handler: parse {308}
     23    0.0%    0.0%  Handler: parse {258}
     23    0.0%    0.0%  Handler: parse {163}
     22    0.0%    0.0%  Stub: StringAddStub_CheckNone_NotTenured
     22    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:265:9
     22    0.0%    0.0%  Handler: parseInternal {425}
     22    0.0%    0.0%  Handler: parseInternal {423}
     22    0.0%    0.0%  Handler: parseInternal {388}
     22    0.0%    0.0%  Handler: parseInternal {252}
     22    0.0%    0.0%  Handler: parseInternal {162}
     22    0.0%    0.0%  Handler: parseInternal {152}
     22    0.0%    0.0%  Handler: parseInternal {138}
     22    0.0%    0.0%  Handler: parseInternal {119}
     22    0.0%    0.0%  Handler: parse {52}
     22    0.0%    0.0%  Handler: parse {25}
     22    0.0%    0.0%  Handler: parse {248}
     22    0.0%    0.0%  Handler: parse {136}
     22    0.0%    0.0%  Handler: parse {125}
     21    0.0%    0.0%  LazyCompile: ~parts.parts.filter.part C:\code\JS\pegs\lib\compiler\Parser.js:360:29
     21    0.0%    0.0%  LazyCompile: *StackPush native array.js:114:19
     21    0.0%    0.0%  Handler: parseInternal {93}
     21    0.0%    0.0%  Handler: parseInternal {446}
     21    0.0%    0.0%  Handler: parseInternal {371}
     21    0.0%    0.0%  Handler: parseInternal {324}
     21    0.0%    0.0%  Handler: parseInternal {240}
     21    0.0%    0.0%  Handler: parseInternal {150}
     21    0.0%    0.0%  Handler: parse {99}
     21    0.0%    0.0%  Handler: parse {89}
     21    0.0%    0.0%  Handler: parse {83}
     21    0.0%    0.0%  Handler: parse {416}
     21    0.0%    0.0%  Handler: parse {409}
     21    0.0%    0.0%  Handler: parse {367}
     21    0.0%    0.0%  Handler: parse {342}
     21    0.0%    0.0%  Handler: parse {31}
     21    0.0%    0.0%  Handler: parse {257}
     21    0.0%    0.0%  Handler: parse {249}
     21    0.0%    0.0%  Handler: parse {242}
     21    0.0%    0.0%  Handler: parse {207}
     21    0.0%    0.0%  Handler: parse {192}
     20    0.0%    0.0%  Stub: StoreFieldStub {1}
     20    0.0%    0.0%  RegExp: "[\\xAA\\xBA\\u01BB\\u01C0-\\u01C3\\u0294\\u05D0-\\u05EA\\u05F0-\\u05F2\\u0620-\\u063F\\u0641-\\u064A\\u066E-\\u066F\\u0671-\\u06D3\\u06D5\\u06EE-\\u06EF\\u06FA-\\u06FC\\u06FF\\u0710\\u0712-\\u072F\\u074D-\\u07A5\\u07B1\\u07CA-\\u07EA\\u0800-\\u0815\\u0840-\\u0858\\u08A0-\\u08B4\\u0904-\\u0939\\u093D\\u0950\\u0958-\\u0961\\u0972-\\u0980\\u0985-\\u098C\\u098F-\\u0990\\u0993-\\u09A8\\u09AA-\\u09B0\\u09B2\\u09B6-\\u09B9\\u09BD\\u09CE\\u09DC-\\u09DD\\u09DF-\\u09E1\\u09F0-\\u09F1\\u0A05-\\u0A0A\\u0A0F-\\u0A10\\u0A13-\\u0A28\\u0A2A-\\u0A30\\u0A32-\\u0A33\\u0A35-\\u0A36\\u0A38-\\u0A39\\u0A59-\\u0A5C\\u0A5E\\u0A72-\\u0A74\\u0A85-\\u0A8D\\u0A8F-\\u0A91\\u0A93-\\u0AA8\\u0AAA-\\u0AB0\\u0AB2-\\u0AB3\\u0AB5-\\u0AB9\\u0ABD\\u0AD0\\u0AE0-\\u0AE1\\u0AF9\\u0B05-\\u0B0C\\u0B0F-\\u0B10\\u0B13-\\u0B28\\u0B2A-\\u0B30\\u0B32-\\u0B33\\u0B35-\\u0B39\\u0B3D\\u0B5C-\\u0B5D\\u0B5F-\\u0B61\\u0B71\\u0B83\\u0B85-\\u0B8A\\u0B8E-\\u0B90\\u0B92-\\u0B95\\u0B99-\\u0B9A\\u0B9C\\u0B9E-\\u0B9F\\u0BA3-\\u0BA4\\u0BA8-\\u0BAA\\u0BAE-\\u0BB9\\u0BD0\\u0C05-\\u0C0C\\u0C0E-\\u0C10\\u0C12-\\u0C28\\u0C2A-\\u0C39\\u0C3D\\u0C58-\\u0C5A\\u0C60-\\u0C61\\u0C85-\\u0C8C\\u0C8E-\\u0C90\\u0C92-\\u0CA8\\u0CAA-\\u0CB3\\u0CB5-\\u0CB9\\u0CBD\\u0CDE\\u0CE0-\\u0CE1\\u0CF1-\\u0CF2\\u0D05-\\u0D0C\\u0D0E-\\u0D10\\u0D12-\\u0D3A\\u0D3D\\u0D4E\\u0D5F-\\u0D61\\u0D7A-\\u0D7F\\u0D85-\\u0D96\\u0D9A-\\u0DB1\\u0DB3-\\u0DBB\\u0DBD\\u0DC0-\\u0DC6\\u0E01-\\u0E30\\u0E32-\\u0E33\\u0E40-\\u0E45\\u0E81-\\u0E82\\u0E84\\u0E87-\\u0E88\\u0E8A\\u0E8D\\u0E94-\\u0E97\\u0E99-\\u0E9F\\u0EA1-\\u0EA3\\u0EA5\\u0EA7\\u0EAA-\\u0EAB\\u0EAD-\\u0EB0\\u0EB2-\\u0EB3\\u0EBD\\u0EC0-\\u0EC4\\u0EDC-\\u0EDF\\u0F00\\u0F40-\\u0F47\\u0F49-\\u0F6C\\u0F88-\\u0F8C\\u1000-\\u102A\\u103F\\u1050-\\u1055\\u105A-\\u105D\\u1061\\u1065-\\u1066\\u106E-\\u1070\\u1075-\\u1081\\u108E\\u10D0-\\u10FA\\u10FD-\\u1248\\u124A-\\u124D\\u1250-\\u1256\\u1258\\u125A-\\u125D\\u1260-\\u1288\\u128A-\\u128D\\u1290-\\u12B0\\u12B2-\\u12B5\\u12B8-\\u12BE\\u12C0\\u12C2-\\u12C5\\u12C8-\\u12D6\\u12D8-\\u1310\\u
     20    0.0%    0.0%  Handler: parseInternal {54}
     20    0.0%    0.0%  Handler: parseInternal {500}
     20    0.0%    0.0%  Handler: parseInternal {480}
     20    0.0%    0.0%  Handler: parseInternal {434}
     20    0.0%    0.0%  Handler: parseInternal {408}
     20    0.0%    0.0%  Handler: parseInternal {367}
     20    0.0%    0.0%  Handler: parseInternal {365}
     20    0.0%    0.0%  Handler: parseInternal {348}
     20    0.0%    0.0%  Handler: parseInternal {104}
     20    0.0%    0.0%  Handler: parse {358}
     20    0.0%    0.0%  Handler: parse {357}
     20    0.0%    0.0%  Handler: parse {231}
     20    0.0%    0.0%  Handler: parse {189}
     19    0.0%    0.0%  Stub: InternalArraySingleArgumentConstructorStub
     19    0.0%    0.0%  Handler: parseInternal {497}
     19    0.0%    0.0%  Handler: parseInternal {488}
     19    0.0%    0.0%  Handler: parseInternal {443}
     19    0.0%    0.0%  Handler: parseInternal {433}
     19    0.0%    0.0%  Handler: parseInternal {379}
     19    0.0%    0.0%  Handler: parseInternal {334}
     19    0.0%    0.0%  Handler: parseInternal {274}
     19    0.0%    0.0%  Handler: parseInternal {22}
     19    0.0%    0.0%  Handler: parse {92}
     19    0.0%    0.0%  Handler: parse {427}
     19    0.0%    0.0%  Handler: parse {334}
     19    0.0%    0.0%  Handler: parse {283}
     19    0.0%    0.0%  Handler: parse {264}
     19    0.0%    0.0%  Handler: parse {174}
     19    0.0%    0.0%  Handler: parse {119}
     19    0.0%    0.0%  Handler: parse {108}
     18    0.0%    0.0%  RegExp: [\\u16EE-\\u16F0\\u2160-\\u2182\\u2185-\\u2188\\u3007\\u3021-\\u3029\\u3038-\\u303A\\uA6E6-\\uA6EF]
     18    0.0%    0.0%  Handler: parseInternal {82}
     18    0.0%    0.0%  Handler: parseInternal {453}
     18    0.0%    0.0%  Handler: parseInternal {419}
     18    0.0%    0.0%  Handler: parseInternal {409}
     18    0.0%    0.0%  Handler: parseInternal {366}
     18    0.0%    0.0%  Handler: parseInternal {276}
     18    0.0%    0.0%  Handler: parseInternal {266}
     18    0.0%    0.0%  Handler: parse {93}
     18    0.0%    0.0%  Handler: parse {79}
     18    0.0%    0.0%  Handler: parse {472}
     18    0.0%    0.0%  Handler: parse {464}
